                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75562,                 1.0258,                0.96216,                      1,                0.79277,                0.98445,                 0.8101,                0.78467,                 1.7287,                0.95305,              0.0004135,              0.0004135,              0.0004135
                     36,                0.67589,                0.70642,                0.99194,                0.99324,                0.84535,                0.98689,                 0.7857,                0.80287,                 1.5793,                0.96582,             0.00042277,             0.00042277,             0.00042277
                     37,                0.77606,                0.77522,                 0.9925,                0.99324,                0.84535,                0.98689,                 0.7857,                0.80287,                 1.5793,                0.96582,             0.00043189,             0.00043189,             0.00043189
                     38,                0.78904,                0.75876,                0.95677,                0.98474,                0.83224,                0.99069,                0.80143,                0.70908,                 1.4146,                0.92603,             0.00044088,             0.00044088,             0.00044088
                     39,                0.66094,                0.77391,                0.91213,                0.98474,                0.83224,                0.99069,                0.80143,                0.70908,                 1.4146,                0.92603,             0.00044972,             0.00044972,             0.00044972
                     40,                0.65887,                0.77576,                0.96728,                0.99531,                 0.8372,                0.99125,                0.77907,                0.67465,                 1.3479,                0.91341,             0.00045842,             0.00045842,             0.00045842
                     41,                0.73937,                0.82988,                 1.0385,                0.99531,                 0.8372,                0.99125,                0.77907,                0.67465,                 1.3479,                0.91341,             0.00046698,             0.00046698,             0.00046698
                     42,                0.63175,                0.79192,                0.92194,                  0.959,                0.92463,                0.99348,                0.81844,                0.69739,                 1.2561,                0.92504,              0.0004754,              0.0004754,              0.0004754
                     43,                0.76239,                0.77863,                 1.0118,                  0.959,                0.92463,                0.99348,                0.81844,                0.69739,                 1.2561,                0.92504,             0.00048368,             0.00048368,             0.00048368
                     44,                0.81042,                 0.9243,                 1.0036,                0.98179,                0.92764,                0.99424,                0.84496,                0.69501,                 1.1532,                0.92879,             0.00049182,             0.00049182,             0.00049182
                     45,                0.74261,                0.85691,                 0.9824,                0.98179,                0.92764,                0.99424,                0.84496,                0.69501,                 1.1532,                0.92879,             0.00049981,             0.00049981,             0.00049981
                     46,                0.82021,                 0.8641,                 1.0516,                0.97723,                0.90905,                  0.995,                0.86113,                0.65694,                 1.1152,                 0.9235,             0.00050766,             0.00050766,             0.00050766
                     47,                0.57882,                0.69271,                0.90128,                0.97723,                0.90905,                  0.995,                0.86113,                0.65694,                 1.1152,                 0.9235,             0.00051538,             0.00051538,             0.00051538
                     48,                0.71646,                0.76467,                0.95069,                0.84011,                0.95065,                0.98357,                0.82935,                0.67731,                 1.0742,                0.91981,             0.00052295,             0.00052295,             0.00052295
                     49,                0.63784,                0.74076,                0.94561,                0.84011,                0.95065,                0.98357,                0.82935,                0.67731,                 1.0742,                0.91981,             0.00053037,             0.00053037,             0.00053037
                     50,                0.61206,                 0.8091,                0.89681,                0.83667,                0.95605,                  0.975,                0.84198,                0.66154,                 1.0775,                0.92667,             0.00053766,             0.00053766,             0.00053766
                     51,                0.67149,                0.70993,                0.93584,                0.83667,                0.95605,                  0.975,                0.84198,                0.66154,                 1.0775,                0.92667,             0.00054481,             0.00054481,             0.00054481
                     52,                0.70805,                0.78133,                 1.0506,                0.83667,                0.95605,                  0.975,                0.84198,                0.66154,                 1.0775,                0.92667,             0.00055181,             0.00055181,             0.00055181
                     53,                  0.705,                0.78663,                0.92695,                0.93703,                0.90975,                  0.995,                0.87873,                0.61527,                0.97494,                0.91474,             0.00055867,             0.00055867,             0.00055867
                     54,                0.78942,                0.83563,                0.91767,                0.93703,                0.90975,                  0.995,                0.87873,                0.61527,                0.97494,                0.91474,              0.0005654,              0.0005654,              0.0005654
                     55,                0.68215,                0.70668,                0.93021,                0.93703,                0.90975,                  0.995,                0.87873,                0.61527,                0.97494,                0.91474,             0.00057198,             0.00057198,             0.00057198
                     56,                0.65491,                0.69915,                  0.928,                 0.9591,                0.99243,                  0.995,                0.86638,                0.61497,                0.87348,                0.90931,             0.00057841,             0.00057841,             0.00057841
                     57,                0.71688,                0.99326,                0.99576,                 0.9591,                0.99243,                  0.995,                0.86638,                0.61497,                0.87348,                0.90931,             0.00058471,             0.00058471,             0.00058471
                     58,                0.68357,                0.72538,                0.98854,                 0.9591,                0.99243,                  0.995,                0.86638,                0.61497,                0.87348,                0.90931,             0.00059087,             0.00059087,             0.00059087
                     59,                0.68686,                0.68795,                0.94713,                0.99929,                0.94813,                  0.995,                0.86778,                0.62897,                0.82568,                0.90063,             0.00059688,             0.00059688,             0.00059688
                     60,                0.67312,                0.69975,                0.94948,                0.99929,                0.94813,                  0.995,                0.86778,                0.62897,                0.82568,                0.90063,             0.00060275,             0.00060275,             0.00060275
